NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTV  8502,KTV- 8502,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,G,TOYOTA,DYNA LONG 3.700 BU343R-TKMQSD3,2003,MHFC1JU4030008130,W04D - JJ17250,12/30/2024,12/30/2018,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 1058,,PENGELOLA (BKAD),DINAS KESEHATAN KAB.PPU,C,TOYOTA,KIJANG INNOVA E GKMRKD,2007,MHFXW41G370024274,1TR - 6477388,1/22/2025,1/22/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 1084,KTV- 2008,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,C,TOYOTA,KIJANG SUPER LF 82 LONG DIESEL,2002,MHF11LF8220049812,2L - 9776971,3/6/2025,3/6/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 1102,,PENGELOLA (BKAD),DINAS KESEHATAN PPU,F,FORD,RANGER SC BASE 2.5L (4x2) MT,2007,MNBBSBE407W687533,WLAT850131,12/19/2024,12/19/2022,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 1120,KTV- 2025,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,C,CHEVROLET,TAVERA 2.2 L MT,2002,MJBTBR30F2K210173,C22NE25066206,9/30/2024,9/30/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 1121,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,C,TOYOTA,AVANZA 1500 S (F602RM GMSFJJ),2008,MHFM1CA4J8K016955,DBB8485,1/20/2027,1/20/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV- 1122,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,C,TOYOTA,AVANZA 1500 S (F602RM GMSFJJ),2008,MHFM1CA4J8K015679,DBA9840,1/20/2026,1/20/2029,RSUD,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV- 1168,,PENGELOLA (BKAD),SEKRETARIAT DPRD KAB.PPU,C,TOYOTA,KIJANG INNOVA G TGN40R-GKMDKD,2009,MHFXW41G690037832,1TR-6808778,1/22/2025,1/22/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 8159,KTVP 8043,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,BEND. PENG. DINAS PEKERJAAN UMUM KAB.PPU,F,FORD,RANGER SC BASE 2.2L (4x4) MT,2014,MNBDMBF20EW304050,P4AT1206541,8/25/2025,8/25/2025,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV- 1211,,PENGELOLA (BKAD),KANTOR DINAS KESEHATAN PPU,F,MAZDA,BT-50 REG CAB 4X2 2.5 MT WLT HIGH,2010,MM6UNY0W4B0870336,WLAT1197640,6/23/2024,6/23/2021,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 8544,KTV- 8550,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM KAB.PPU,G,ISUZU,NKR 71 HD E2-2,2015,MHCNKR71HFJ070385,B070385,9/28/2025,9/28/2025,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV- 2023,,PENGELOLA (BKAD),PEMERINTAH KAB.PENAJAM PASER UTARA,C,TOYOTA,KIJANG STANDAR KF 60 SHORT,2003,MHF31KF6030021049,7K - 057249,8/21/2024,8/21/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2028,,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,C,CHEVROLET,TAVERA 2.2 L MT,2002,MJBTBR30F2K210798,C22NE25079130,9/30/2024,9/30/2018,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2600,,PENGELOLA (BKAD),BEND.KELURAHAN RIKO,R,HONDA,GL160 D,2008,MH1KC11148K179344,KC11E - 1181515,10/31/2024,10/31/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2628,,PENGELOLA (BKAD),DINAS PERIKANAN DAN KELAUTAN,R,SUZUKI,EN 125 A,2008,MH8EN125A8J576379,F405 - ID - 576647,2/4/2025,2/4/2024,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2644,,PENGELOLA (BKAD),DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71158K555582,HB71E - 1551720,4/23/2024,4/23/2024,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2718,,PENGELOLA (BKAD),BEND.PENGELUARAN DISHUTBUN PPU,R,HONDA,GL160 D,2009,MH1KC12129K189497,KC12E - 1189154,9/7/2024,9/7/2019,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2772,,PENGELOLA (BKAD),KELURAHAN NIPAH-NIPAH,R,HONDA,NC110 D CW AT (VARIO),2009,MH1JF13109K134662,JF13E - 0133487,1/18/2025,1/18/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2813,,PENGELOLA (BKAD),SATUAN POLISI PAMONG PRAJA KAB.PPU,R,HONDA,GL200 R,2009,MH1MC221X9K043976,MC22E-1043902,3/1/2025,3/1/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2818,,PENGELOLA (BKAD),SATUAN POLISI PAMONG PRAJA KAB.PPU,R,HONDA,GL200 R,2009,MH1MC22129K042353,MC22E-1042427,3/1/2025,3/1/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2844,,PENGELOLA (BKAD),DINAS PERTANIAN PPK,R,HONDA,GL160 D,2010,MH1KC1110AK253557,KC11E-1255275,7/1/2024,7/1/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2848,,PENGELOLA (BKAD),DINAS PERTANIAN PETERNAKAN PERIKANAN&KEL,R,HONDA,GL160 D,2010,MH1KC1210AK255646,KC12E-1253553,7/15/2024,7/15/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2865,,PENGELOLA (BKAD),KANTOR SATPOL PP KAB.PPU,R,HONDA,NF125 TD,2010,MH1JB8119AK561169,JB81E-1556559,8/23/2024,8/23/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2922,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA KAB.PPU,R,HONDA,NF 11B1D M/T,2010,MH1JBC113AK780051,JBC1E-1752112,2/16/2021,2/16/2021,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTV- 2930,,PENGELOLA (BKAD),DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,HONDA,NF 11B1D M/T,2010,MH1JBC122AK037485,JBC1E-2039485,1/19/2025,1/19/2026,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2972,,PENGELOLA (BKAD),KANTOR KECAMATAN SEPAKU,R,HONDA,NCF 11A1CF AT,2010,MH1JBD116AK006494,JBD2E-1006599,8/23/2024,8/23/2026,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 2975,,PENGELOLA (BKAD),KANTOR LURAH MENTAWIR,R,KAWASAKI,LX150C (KLX 150S),2011,MH4LX150CBKP27304,LX150CEP41827,6/23/2024,6/23/2026,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 3052,,PENGELOLA (BKAD),KANTOR KECAMATAN SEPAKU,R,KAWASAKI,LX150C (KLX 150S),2011,MH4LX150CBKP38335,LX150CEP58434,2/3/2025,2/3/2027,PENGELOLA,LELANG,TIDAK AKTIF,LELANG
KTV- 3100,,PENGELOLA (BKAD),DINAS KESEHATAN PENAJAM PASER UTARA,R,SUZUKI,EN 125 (THUNDER),2006,MH8EN125A6J342223,F405 - ID - 342051,2/26/2025,2/26/2017,PENGELOLA,LELANG,TIDAK AKTIF,LELANG
KTV- 3101,,PENGELOLA (BKAD),DINAS KESEHATAN PENAJAM PASER UTARA,R,SUZUKI,EN 125 (THUNDER),2006,MH8EN125A6J342194,F405 - ID - 341956,3/22/2024,3/22/2022,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 3128,,DINAS PERHUBUNGAN,DISHUBBUDPAR KAB.PPU,R,HONDA,CBR 250 RB (IN),2012,MLHMC4195C5011822,MC41E-2031296,8/23/2020,8/23/2022,DISHUB,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTV- 4007,,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,R,HONDA,WIN (MCB),2003,MH1HABD123K022809,HABDE-1023238,12/29/2024,12/29/2018,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4056,,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,R,HONDA,WIN (MCB),2004,MH1HABD1X4K041741,HABDE-1042350,7/22/2024,7/22/2019,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4067,,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,R,HONDA,WIN (MCB),2004,MH1HABD174K036965,HABDE-1037837,8/30/2024,8/30/2024,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4069,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",PEMKAB PENAJAM PASER UTARA,R,HONDA,WIN (MCB),2004,MH1HABD124K086544,HABDE-1086122,1/4/2020,1/4/2020,DISDIKPORA,TIDAK DIKETAHUI KEBERADAANYA,TIDAK AKTIF,TIDAK DIKETAHUI KEBERADAANYA
KTV- 4072,,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,R,HONDA,WIN (MCB),2004,MH1HABD164K084599,HABDE-1084047,1/4/2020,1/4/2020,PEMKAB PPU,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTV- 4076,,PENGELOLA (BKAD),KANTOR PERIKANAN DAN KELAUTAN,R,HONDA,GLP III (MEGA PRO),2005,MHIKEHL125K116416,KEHLE - 1115448,2/21/2020,2/21/2020,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4306,,PENGELOLA (BKAD),KANTOR PERIKANAN DAN KELAUTAN,R,HONDA,GL160 D,2006,MH1KC12126K007423,KC12E - 1007372,1/15/2025,1/15/2027,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4312,,PENGELOLA (BKAD),DINAS KESEHATAN,R,HONDA,NF100 SL,2006,MH1HB31126K622483,HB31E - 1621702,1/15/2025,1/15/2017,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4313,,PENGELOLA (BKAD),DINAS KESEHATAN,R,HONDA,NF100 SL,2006,MH1HB31166K622566,HB31E - 1609466,1/15/2025,1/15/2027,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4325,,PENGELOLA (BKAD),DINAS PERTANIAN,R,HONDA,GL160 D,2006,MH1KC111X6K036699,KC11E - 1036873,1/15/2025,1/15/2027,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4326,,DINAS PERTANIAN,DINAS PERTANIAN,R,HONDA,GL160 D,2006,MHIKC11166K039647,KC11E - 1040052,1/15/2027,1/15/2027,DINAS PERTANIAN,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV- 4367,,SEKRETARIAT DAERAH,PEMKAB PPU,R,HONDA,NF100 SL,2006,MH1HB31176K499764,HB31E - 1497653,1/24/2026,1/24/2022,PEMKAB PPU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV- 4370,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",PEMKAB PPU,R,HONDA,NF100 SL,2006,MH1HB31176K289004,HB31E - 1282803,1/24/2021,1/24/2022,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTVP 8545,KTV- 8547,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM KAB.PPU,G,ISUZU,NKR 71 HD E2-2,2015,MHCNKR71HFJ070391,B070391,9/28/2025,9/28/2025,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV- 4384,,SEKRETARIAT DAERAH,PEMKAB PPU,R,HONDA,NF100 SL,2006,MH1HB31146K508307,HB31E - 1516422,1/24/2026,1/24/2027,PEMKAB PPU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV- 4394,,PENGELOLA (BKAD),DINAS KESEHATAN,R,HONDA,NF100 SLD,2006,MH1HB41126K767481,HB41E - 1763571,3/26/2024,3/26/2022,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 4397,,PENGELOLA (BKAD),DINAS KESEHATAN,R,HONDA,NF100 SLD,2006,MH1HB41186K767484,HB41E - 1763575,4/5/2024,4/5/2022,PENGELOLA,LELANG,TIDAK AKTIF,LELANG
KTV- 4398,,PENGELOLA (BKAD),DINAS KESEHATAN,R,HONDA,NF100 SL,2006,MH1HB31106K238606,HB31E - 1238564,4/19/2024,4/19/2022,PENGELOLA,LELANG,TIDAK AKTIF,LELANG
KTV- 5106,,PENGELOLA (BKAD),DINAS KESEHATAN PENAJAM PASER UTARA,R,YAMAHA,T 105 ERD (VEGA DB),2005,MH34ST2105K058147,4ST - 1413761,2/27/2025,2/27/2026,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 5114,,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,R,YAMAHA,1S7 JUPITER-MX 135 cc,2006,MH31S70016K151282,1S7 - 151406,1/22/2020,1/22/2022,PEMKAB PPU,TIDAK DIKETAHUI KEBERADAANYA,TIDAK AKTIF,TIDAK DIKETAHUI KEBERADAANYA
KTV- 7004,,PENGELOLA (BKAD),"DINAS PERTANIAN,PETERNAKAN,PERIKANAN,KEL",D,ISUZU,NKR 55 E12A,2009,MHCNK55EY9J027620,M027620,1/18/2025,1/18/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 4369,KTV  3122,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,BADAN PEMBERDAYAAN MASY PEMERINTAHAN D,R,HONDA,NF11B2D1,2012,MH1JBE315CK172057,JBE3E-1171193,8/9/2025,8/9/2027,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,BAIK,AKTIF,TERCATAT DI BKAD
KTV- 8003,,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,F,TOYOTA,KIJANG STANDARD KF 60,2003,MHF31KF6030020823,7K - 0572223,7/9/2024,7/9/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 8032,,PENGELOLA (BKAD),SEKRETARIAT DPRD KAB.PPU,F,TOYOTA,HILUX 3.0 DC (KUN26R-PRMDYQ3),2010,MROFZ29G2A1581185,IKD - 7932987,5/20/2024,5/20/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV- 8044,,PENGELOLA (BKAD),DP3K KAB.PPU,F,TOYOTA,HILUX 3.0G DC (4X4) MT,2010,MR0FZ29G4A1608760,1KD-6682623,1/21/2025,1/21/2026,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVA 9003,,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,C,SUZUKI,GC415V APV SDX MT,2014,MHYGDN42VEJ401901,G14AID-323702,10/24/2026,10/24/2029,DINAS KESEHATAN PKM SEPAKU I ,BAIK,AKTIF,TERCATAT DI BKAD
KTVA 9006,KTV- 2021,PENGELOLA (BKAD),PEMERINTAH KAB.PENAJAM PASER UTARA,C,TOYOTA,KIJANG STANDAR KF 60 SHORT,2003,MHF31KF6030021526,7K - 0581415,8/21/2024,8/21/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVA 9007,KTV- 2022,PENGELOLA (BKAD),PEMERINTAH KAB.PENAJAM PASER UTARA,C,TOYOTA,KIJANG STANDAR KF 60 SHORT,2003,MHF31KF6030021173,7K - 057838,8/21/2024,8/21/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP    3, ,KEJARI,SEKETARIAT DEWAN PERWAKILAN RAKYAT DAERA,B,TOYOTA,HARRIER Z,2024,AXUH800072611,A25A1278138,1/7/2027,1/7/2030,KEJARI,HIBAH,TIDAK AKTIF,HIBAH
KTVP    9,KTVP 1524,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,C,TOYOTA,MAGH10R-BRXMBD 2.0 V HV CVT,2023,MHFABAAA9P0008849,M20A-NA87956,10/18/2026,10/18/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP   10, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,TOYOTA,FORTUNER 2.8 VRZ 4X2 AT (GUN166R-SDTHXD),2024,MHFAA8GS7R0913623,1GD-5557475,5/22/2027,5/22/2029,PEMKAB PPU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 1009,,SEKRETARIAT DPRD,SEKERTARIAT DPRD KAB.PPU,C,TOYOTA,KIJANG INNOVA V GKMNKD 10,2013,MHFXW43G2D4078828,1TR-7570494,11/19/2026,11/19/2028,SEKRETARIAT DPRD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1012,,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,BP2TPM KAB.PPU,C,TOYOTA,KIJANG INNOVA G TGN40R-GKMDKD,2013,MHFXW42G8D2267402,1TR-7619455,11/19/2026,11/19/2028,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1013,,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,BP2TPM KAB.PPU,C,TOYOTA,RUSH 1.5S (F700RE-GMMFJ),2013,MHFE2CJ3JDK069897,DDU9006,11/19/2026,11/19/2028,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1014,,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,BP2TPM KAB.PPU,C,TOYOTA,KIJANG INNOVA G AT GKPDKD,2013,MHFXW42G3D2267551,1TR-7620375,11/19/2026,11/19/2028,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1020,,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,C,SUZUKI,AVI414F DX (4X2) MT,2013,MHYKZE81SDJ225266,K14BT-1085160,1/10/2027,1/10/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1021,,SEKRETARIAT DAERAH,PEMERINTAH KAB.PPU,C,TOYOTA,NAV1 2.0 V AT,2013,MHFX2RB71D8002785,3ZR-B189174,12/23/2026,12/23/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1022,,SEKRETARIAT DAERAH,PEMKAB PPU,B,TOYOTA,FORTUNER 2.5G MT KUN60R-EKMSHD,2013,MHFZR69GXD3080058,2KD-U393332,12/23/2026,12/23/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 4374,KTV  3129,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,BADAN PEMBERDAYAAN MASY PEMERINTAHAN D,R,HONDA,NF11B2D1,2012,MH1JBE314CK180909,JBE3E-1176881,8/30/2025,8/30/2027,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1025,,SEKRETARIAT DAERAH,PEMKAB PPU,C,TOYOTA,NAV1 2.0 V AT,2013,MHFX2RB71D8002662,3ZR-B195072,12/23/2026,12/23/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1026,,DINAS KEBUDAYAAN DAN PARIWISATA,DINAS PERTAMBANGAN,C,TOYOTA,KIJANG INNOVA G AT GKPDKD,2013,MHFXW42G4D2274413,1TR-7680163,12/23/2026,12/23/2028,DINAS KEBUDAYAAN DAN PARIWISATA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1027,,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,C,TOYOTA,KIJANG INNOVA G TGN40R-GKMDKD,2013,MHFXW42GXD2275842,1TR-7690179,12/23/2026,12/23/2028,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1028,,SEKRETARIAT DAERAH,PEMKAB PPU,C,TOYOTA,NAV1 2.0 V AT,2013,MHFX2RB71D8002730,3ZR-8202710,12/23/2026,12/23/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1037,,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB.PPU,C,TOYOTA,KIJANG INNOVA V GKMNKD,2014,MHFXW43G3E4084896,1TR-7751992,5/13/2027,5/13/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1038,,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB.PPU,C,TOYOTA,KIJANG INNOVA V GKMNKD,2014,MHFXW43G1E4083293,1TR-7704826,5/13/2026,5/13/2029,SEKRETARIAT DAERAH,Pinjam Pakai,TIDAK AKTIF,PINJAM PAKAI
KTVP 1039,,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB.PPU,C,TOYOTA,KIJANG INNOVA V GKMNKD,2014,MHFXW43G7E4083492,1TR-7711883,5/13/2027,5/13/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1040,,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB.PPU,C,TOYOTA,KIJANG INNOVA V GKMNKD,2014,MHFXW43G8E4085171,1TR-7760910,5/13/2027,5/13/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1043,,POLRES,SEKRETARIAT DAERAH KAB.PPU,B,TOYOTA,FORTUNER 2.5 G A/T,2014,MHFZR69G1E3097218,2KD-U549866,9/18/2020,9/18/2024,POLRES,HIBAH,TIDAK AKTIF,HIBAH
KTVP 1044,,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA KAB.PPU,C,TOYOTA,RUSH 1.5S (F700RE-GMMFJ),2014,MHFE2CJ3JEK082399,DEJ6322,9/25/2026,9/25/2029,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1045,,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,C,SUZUKI,AVI414F DX (4X2) MT,2014,MHYKZE81SEJ213958,K14BT-1117284,8/19/2026,8/19/2029,DINAS KESEHATAN PKM SOTEK,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1046,,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,C,SUZUKI,GC415V APV DLX MT,2014,MHYGDN42VEJ400221,G15AID-314986,8/19/2026,8/19/2029,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1047,,PENGELOLA (BKAD),DINAS KESEHATAN KAB.PPU,C,SUZUKI,AVI414F DX (4X2) MT,2014,MHYKZE81SEJ214091,K14BT-1117422,8/19/2024,8/19/2024,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 1048,,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,C,SUZUKI,AVI414F DX (4X2) MT,2014,MHYKZE81SEJ211633,K14BT-1115778,8/19/2026,8/19/2029,DINAS KESEHATAN PKM SEPAKU III,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 1049,,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,C,SUZUKI,AVI414F DX (4X2) MT,2014,MHYKZE81SEJ212125,K14BT-1116219,8/19/2027,8/19/2029,DINAS KESEHATAN PKM SEBAKUNG JAYA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1050,,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,C,SUZUKI,AVI414F DX (4X2) MT,2014,MHYKZ81SEJ213617,K14BT-1116968,8/19/2026,8/19/2029,DINAS KESEHATAN PKM MARIDAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1051,,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,C,SUZUKI,AVI414F DX (4X2) MT,2014,MHYKZ81SEJ210634,K14BT-1106002,8/19/2026,8/19/2029,DINAS KESEHATAN PKM GUNUNG INTAN,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 1054,,"DINAS KOPERASI, UKM, PERINDUSTRIAN DAN PERDAGANGAN","DINAS KOPERASI UKM, PERINDAG",C,TOYOTA,NEW AVANZA VELOZ 1.5 MT,2014,MHKM1CA4JEK081375,DER6715,10/16/2026,10/16/2029,DISKUKMPERINDAG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1055,,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB.PPU,C,TOYOTA,ALPHARD 3.5 AT (GGH20R-PFTQK),2014,JTEGS21H3E8087549,2GR-J936506.,10/9/2026,10/9/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1056,,"DINAS KOPERASI, UKM, PERINDUSTRIAN DAN PERDAGANGAN","DINAS KOPERASI UKM, PERINDAG",B,MITSUBISHI,OUTLANDER SPORT 2.0L GLX-E 4X2 MT,2014,MHMGAWS2NEK000906,4B11-MR7494,10/15/2026,10/15/2029,DISKUKMPERINDAG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1057,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA KAB,C,TOYOTA,NEW AVANZA 1.3G M/T,2014,MHKM1BA3JEK190427,MD00584,9/25/2026,9/25/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1058,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA KAB,C,TOYOTA,NEW AVANZA 1.3G MT,2014,MHKM1BA3JEK191493,MD05334,9/25/2026,9/25/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1059,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA KAB,C,TOYOTA,NEW AVANZA 1.3G MT,2014,MHKM1BA3JEK191285,MD04212,9/25/2026,9/25/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1060,,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH KAB.PPU,C,TOYOTA,NEW AVANZA VELOZ 1.5 MT,2014,MHKM1CA4JEK082772,DES3484,12/16/2026,12/16/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
